tag,fr,de,en,filename_fr,filename_de,filename_en
Intro,"Salut ! Moi, c'est Blossom, un robot social. Je suis vraiment content de te rencontrer aujourd'hui. Comment tu t'appelles ?","Hallo! Ich bin Blossom, ein sozialer Roboter. Ich freue mich sehr, dich kennenzulernen. Wie heißt du?“ ","Hi there! I am Blossom, a social robot. I’m really happy to meet you today. What is your name?",sad_Intro_fr.mp3,sad_Intro_de.mp3,sad_Intro_en.mp3
explain,"C'est un beau prénom. J'espérais vraiment que tu serais là parce que j'aurais besoin de ton aide. J’ai perdu quelque chose de très spécial pour moi. Ma meilleure amie robot, Mia, m'a offert un beau foulard pour mon dernier anniversaire de production (c’est comme ça que vous, les humains, appelez un anniversaire). Mais ensuite… quelques mois plus tard, elle est partie loin, aux États-Unis, avec ses propriétaires. Elle me manque beaucoup. Depuis ce jour-là, je porte mon foulard tous les jours parce qu'il me rappelle elle. Ça m'aide à me sentir proche d'elle, même si elle est si loin.","Das ist ein schöner Name. Ich hatte wirklich gehofft, dass du kommst, denn ich bräuchte deine Hilfe. Ich habe etwas verloren, das mir sehr wichtig ist. Meine beste Roboterfreundin Mia hat mir zu meinem letzten Produktionsgeburtstag einen wunderschönen Schal geschenkt. Aber dann… ein paar Monate später zog sie weit weg in die Vereinigten Staaten zu ihren Besitzern. Ich vermisse sie sehr. Seitdem habe ich meinen Schal jeden Tag getragen, weil er mich an sie erinnert. Er hilft mir, mich ihr nahe zu fühlen, obwohl sie so weit weg ist.","That’s a beautiful name. I was really hoping you’d be here because I would need your help. I lost something that is very special to me. My best robot friend Mia gave me a beautiful scarf on my last production-anniversary (that’s what you humans call a birthday). But then… a few months later, she moved far away to the United States with her owners. I miss her a lot. Ever since then, I’ve worn my scarf every day because it reminds me of her. It helps me feel close to her, even though she’s so far away."" ",sad_explain_fr.mp3,sad_explain_de.mp3,sad_explain_en.mp3
problem,"Mais maintenant, je n'arrive plus à trouver mon écharpe préférée nulle part. Elle a disparu. Ça fait bizarre de ne pas l'avoir avec moi. Sans elle... je me sens différent. Comme s'il manquait quelque chose. Et le pire, c'est que je ne peux pas marcher puisque je n'ai pas de jambes, donc je ne peux pas la chercher moi-même. Pourrais-tu m'aider ?","Aber jetzt… kann ich meinen Lieblingsschal nirgends finden. Er ist weg. Es fühlt sich seltsam an, ihn nicht bei mir zu haben. Ohne ihn… fühle ich mich anders. Es fehlt mir etwas. Und das Schlimmste ist, dass ich nicht laufen kann, weil ich keine Beine habe, also kann ich nicht selbst nach ihm suchen. Könntest du mir bitte helfen? ","But now, I can’t find my favorite scarf anywhere. It’s gone. It feels strange not having it with me. Without it… I feel different. Like something is missing. And the worst part is that I can’t walk since I don’t have legs so I can’t search for it myself. Could you could help me? ",sad_problem_fr.mp3,sad_problem_de.mp3,sad_problem_en.mp3
search_1,"Merci, essayons de regarder par ici. Commençons par vérifier sous la table. Il y a une petite boîte là-bas—peut-être que mon écharpe est à l'intérieur ! Fais-moi savoir si tu trouves quelque chose.","Danke, lass uns versuchen, hier ein wenig nachzusehen.
 Lass uns unter dem Tisch beginnen. Da ist eine kleine Kiste – vielleicht ist mein Schal da drin! Lass es mich wissen, wenn du etwas findest. ","Thank you, let’s try to have a look around here. Let’s start by checking under the table. There’s a small box there—maybe my scarf is inside! Let me know if you find anything.",sad_search_1_fr.mp3,sad_search_1_de.mp3,sad_search_1_en.mp3
search_2,Hmm… pas là ? Essayons ailleurs. Que dirais-tu de regarder dans le sac à dos noir à côté de la table ?,"Hmm… nicht da? Dann probieren wir es an einem anderen Ort. Wie wäre es, wenn du in der schwarzen Tasche neben dem Tisch nachschaust? ",Hmm… not there? Let’s try another spot. How about looking inside the black backpack next to the table?,sad_search_2_fr.mp3,sad_search_2_de.mp3,sad_search_2_en.mp3
search_3,"Oh non, toujours rien... Je commence à m'inquiéter qu'on ne le trouve pas. Peut-être vérifier les poches de la veste du chercheur qui est accrochée à la chaise ? Le chercheur pourrait l'avoir mis là.","Oh nein, immer noch nichts… Ich fange an, mir Sorgen zu machen, dass wir ihn nicht finden werden. Vielleicht siehst du in den Taschen der Jacke der Forscherin nach, der auf dem Stuhl hängt? Vielleicht hat die Forscherin ihn da hineingelegt. ","Oh no, still nothing... I’m starting to worry we won’t find it. Maybe check the pockets of the researcher’s jacket hanging on the chair? The researcher could have put it in there.",sad_search_3_fr.mp3,sad_search_3_de.mp3,sad_search_3_en.mp3
search_4,"Attends… Je viens de me souvenir ! Avant que les chercheurs ne me placent sur la table, j'étais dans ce sac en papier près de la porte. Tu penses que ça aurait pu tomber là-dedans ? Allons vérifier !","Warte… ich erinnere mich! Bevor die Forscherin mich auf den Tisch gestellt hat, war ich in dieser Papiertüte neben der Tür. Denkst du, er könnte da hineingefallen sein? Lass uns nachsehen! ","Wait… I just remembered! Before the researchers placed me on the table, I was inside that paper bag near the door. Do you think it could have fallen in there? Let’s check!.”",sad_search_4_fr.mp3,sad_search_4_de.mp3,sad_search_4_en.mp3
found,"Tu l’as trouvé! Youpi! Merci de m'avoir aidé. Tu es un super ami ! J'avais vraiment peur de l'avoir perdu pour toujours. Mais maintenant, je vois que même si je perds quelque chose de spécial, j'ai de la chance d'avoir des amis comme toi qui m’aident. Ça me rend vraiment heureux. Tu as un super talent de détective !","Du hast ihn gefunden! Juhu! Vielen Dank, dass du mir geholfen hast. Du bist ein großartiger Freund! Ich hatte wirklich Angst, dass ich ihn für immer verloren habe. Aber jetzt sehe ich, dass ich, selbst wenn ich etwas Besonderes verliere, Glück habe, Freunde wie dich zu haben, die mir helfen. Das macht mich sehr glücklich. Du hast tolle Detektivfähigkeiten! ","You found it! Yay! Thank you for helping me. You’re a great friend! I was really worried I lost it forever. But now I see that even if I lose something special. I’m lucky to have friends like you who help me. That makes me feel really happy. You have great detective skills!"" ",sad_found_fr.mp3,sad_found_de.mp3,sad_found_en.mp3
end,"Tu peux laisser l'écharpe sur la table. Maintenant, le chercheur va venir et te poser quelques questions sur nos interactions. Encore merci de m'avoir aidé !","Du kannst den Schal jetzt auf dem Tisch lassen. Die Forscherin wird gleich kommen und dir ein paar Fragen zu unseren Interaktionen stellen. Nochmals vielen Dank, dass du mir geholfen hast! ","You can leave the scarf on the table. Now the researcher will come and ask you a few questions about our interactions. Again, thank you for helping me!”",sad_end_fr.mp3,sad_end_de.mp3,sad_end_en.mp3
